match_id,match_date,team,opponent,venue,result,player_name,position,minutes_played,goals,assists,tackles_won,saves,passes_completed,shots_on_target,yellow_cards
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Kristijan Kahlina,GK,60,0,0,0,6,29,0,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Adilson Malanda,DF,75,1,0,1,0,30,1,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Andrew Privett,DF,90,0,0,1,0,47,0,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Nathan Byrne,DF,90,0,1,4,0,37,1,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Tim Ream,DF,90,0,0,1,0,54,0,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Ashley Westwood,MF,90,0,0,1,0,53,1,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Brandt Bronico,MF,90,0,0,2,0,62,2,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Pep Biel,MF,75,1,0,4,0,47,2,1
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Idan Toklomati,MF,90,0,0,4,0,63,2,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Wilfried Zaha,FW,65,0,0,1,0,17,0,0
1,2026-07-05,Charlotte FC,Atlanta United,Home,W,Patrick Agyemang,FW,90,0,0,1,0,35,1,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Brad Guzan,GK,90,0,0,0,6,28,0,1
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Brooks Lennon,DF,90,0,0,5,0,53,0,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Derrick Williams,DF,90,0,0,6,0,52,2,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Stian Gregersen,DF,90,0,0,1,0,37,0,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Julian Gressel,DF,90,1,0,1,0,36,3,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Bartosz Slisz,MF,90,0,0,3,0,65,2,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Amar Sejdic,MF,90,0,0,1,0,75,2,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Emerson Hyndman,MF,90,0,0,4,0,65,1,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Saba Lobjanidze,MF,90,0,0,4,0,71,0,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Xande Silva,FW,90,0,0,0,0,35,0,0
1,2026-07-05,Atlanta United,Charlotte FC,Away,L,Giorgos Giakoumakis,FW,90,0,0,0,0,27,1,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Drake Callender,GK,90,0,0,0,7,18,0,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,DeAndre Yedlin,DF,80,0,0,3,0,54,2,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Ian Fray,DF,90,0,0,2,0,44,0,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Jordi Alba,DF,90,0,0,3,0,46,0,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Noah Allen,DF,70,0,0,6,0,46,2,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Federico Redondo,MF,90,1,0,1,0,74,3,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Yannick Bright,MF,90,0,0,3,0,41,0,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Diego Gomez,MF,90,0,0,2,0,55,0,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Julian Carranza,MF,90,0,0,0,0,45,2,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Leonardo Campana,FW,80,0,0,0,0,19,2,0
2,2026-07-12,Inter Miami,Charlotte FC,Home,D,Luis Suarez,FW,90,0,0,1,0,31,2,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Kristijan Kahlina,GK,90,0,0,0,6,28,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Adilson Malanda,DF,90,0,0,4,0,33,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Andrew Privett,DF,90,0,0,5,0,47,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Nathan Byrne,DF,60,1,0,2,0,32,1,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Tim Ream,DF,65,0,0,3,0,51,1,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Ashley Westwood,MF,80,0,0,4,0,70,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Brandt Bronico,MF,90,0,0,1,0,46,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Pep Biel,MF,90,0,0,3,0,69,2,1
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Idan Toklomati,MF,90,0,1,0,0,43,1,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Wilfried Zaha,FW,90,0,0,0,0,22,0,0
2,2026-07-12,Charlotte FC,Inter Miami,Away,D,Patrick Agyemang,FW,90,0,0,1,0,20,1,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Kristijan Kahlina,GK,90,0,0,0,7,21,0,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Adilson Malanda,DF,90,1,1,2,0,57,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Andrew Privett,DF,90,0,0,1,0,42,1,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Nathan Byrne,DF,90,0,0,3,0,43,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Tim Ream,DF,90,0,0,5,0,51,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Ashley Westwood,MF,90,0,0,1,0,43,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Brandt Bronico,MF,70,0,0,0,0,43,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Pep Biel,MF,90,0,0,4,0,50,0,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Idan Toklomati,MF,65,0,0,0,0,44,2,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Wilfried Zaha,FW,90,2,1,2,0,22,4,0
3,2026-07-19,Charlotte FC,NYCFC,Home,W,Patrick Agyemang,FW,90,0,1,1,0,33,2,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Matt Freese,GK,90,0,0,0,6,23,0,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Tayvon Gray,DF,90,0,0,6,0,50,1,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Maxime Chanot,DF,90,0,0,1,0,30,1,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Thiago Martins,DF,90,0,0,1,0,32,2,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Alex Callens,DF,90,0,0,3,0,58,0,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Keaton Parks,MF,90,0,0,1,0,68,2,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Santiago Rodriguez,MF,90,0,0,4,0,40,2,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Andres Jasson,MF,90,0,0,0,0,48,1,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Julian Fernandez,MF,80,0,0,1,0,57,1,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Talles Magno,FW,90,0,0,0,0,35,1,0
3,2026-07-19,NYCFC,Charlotte FC,Away,L,Hannes Wolf,FW,90,0,0,0,0,17,2,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Patrick Schulte,GK,90,0,0,0,5,29,0,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Rudy Camacho,DF,60,1,0,6,0,58,1,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Malte Amundsen,DF,90,0,0,5,0,47,0,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Yevhen Cheberko,DF,70,1,1,1,0,58,2,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Will Sands,DF,90,0,0,1,0,41,2,0
4,2026-07-26,Columbus Crew,Charlotte FC,Home,D,Diego Rossi,MF,90,0,0,4,0,49,0,0
